Name,Review,Star,Helpful,Problem
E***n,Sesuai pesanan.. thank ya..,5,0,gada
A***s,"bagus, murah, pengiriman cepet. ga ada kurang. TOP",5,0,gada
exKado,"Gw beli buat naik busway. Giliran mau berangkat, lupa narohnya dimana 🤣🤣 oh diriku….",5,0,gada
melani,💯💯,5,0,gada
Soehartono,lumayan bagus dan cepat sampai,5,0,gada
Bear,beli brg ga ada dan kecewa banget kayak orang ngemis karena uang ga direfund2 tau nggak? udah di wa ga direspon. bales e cuman sebentar kak sebentar kak. ya ampun ya ampun.. 😊😊😊,1,1,gada
Martin,"pengiriman cepat, sayangnya kualitas kurang bagus, case agak longgar di HP XR saya, akhirnya gak di pakai karena gak pas",2,0, Kualitas barang bermasalah
c***e,Agak melar ... tapi ok lah,5,0,gada
V***i,"Bagus banget , kayak gk pake casing🥰",5,0,gada
Safrizal,"pengiriman cepat, packing mantab, barang berkualitas",5,1,gada
Muhammad,"Bagus, tipis tapi kuat",5,0,gada
A***a,bagus,5,0,gada
wikansw,Good,5,0,gada
Ragil,Casenya mememuaskan thnks👍,5,0,gada
I***a,"Sumpah barang nya sebagus itu sih bahannya tebel, pake ini jadi kaya hp baru lagi hihihi dan muat 2 kartu, tapi tolong ekspedisi nya jangan si cepat nama aja cepat nyampe nya lama, dikomplain baru dikirim",5,0,gada
Ahmad,Baguuuus manteppp. sukaak,5,0,gada
Darwono,barang bagus sesuai pesanan oke terima ksoh,5,0,gada
Muhammad,"Kualitas case bagus, cuman packagingnya aja yg kurang menarik jadi terkesan murahan",4,0,gada
R***y,jajsndjdjndjdndnejsjsnkslakansjsnbsnsjs ajaiajajakjajakakanajaia mantap,4,0,gada
G***i,barang bagus dan murah,5,0,gada
Tius,harga terjangkau. produk berkualitas. mantepp,5,0,gada
v***i,Baguss,5,0,gada
Tressia,Lumayan bagus,4,0,gada
J***y,baguusss.. Amaaan...,5,0,gada
B***n,Terima kasih,5,0,gada
b***e,"Ok, si cm yg saya order cm 2 yg bener, yg 3 lg jd ga kepake ini, karena seri + semua, harus nya 6 biasa & 7 biasa",4,1,gada
Rifqi,"barnag keren, plus dapet nomor perdana cantik",5,0,gada
IA,"puas bangett, padahal cuma beli 2 barang murah, tapi dikasih bonus",5,0,gada
M,Cakepp casenya 🤙🤙🤙,5,0,gada
M***d,"Casenya bagus, bahan oke, sesuai dengan deskirpsi",5,1,gada
A***r,gada,1,0," Kemasan tidak aman, Pengiriman lama"
Yugi,Sesuai,5,0,gada
Muhammad,gada,1,0," Tidak lengkap/salah kirim, Pelayanan penjual kurang, Pengiriman lama"
P***s,bagus sesuai deskripsi,5,0,gada
N***a,Gercep. Ga kuning.,5,0,gada
m***m,Barang yang di kirim tidak sesuai walaupun sudah si chat stok kosong Harusnya di update untuk stoknya kakak,2,0, Tidak lengkap/salah kirim
E***n,"barangnya keren, seller good fast respon, rekomend",5,0,gada
A***n,Mantap case nya,5,0,gada
Charoline,gada,5,0,gada
M***a,nice bgt!,5,0,gada
R***n,Pengiriman ekspress,5,0,gada
y***a,Banyak banget bonusnya min😂,5,0,gada
Rheza,Hp jadi terindungi,5,0,gada
Nanang,"yg diceckout ternyata kosong tapi malah diganti yg lebih bagus harga lebih mahal, tapi gak nambah duit wkwkw makasih banget",5,0,gada
M***H,saya kira ada slot ekstranya ternyata hanya bolongan buat masukin kartu ke belakang hape. tapi casingnya tebel kok oke lah,5,0,gada
Anys,bagussss dapet kartu juga,5,0,gada
h***a,mengonge,5,0,gada
Anang,cuma beli 1 tp ada BONUSnya,5,0,gada
A***a,Barangnya bagus harga terjangkau dpt free perdana lagi,5,0,gada
Novita,Gercep banget,5,0,gada
F***a,bagusssss bangeeeettt. dapet bonus nomor smartfren juga. makasih ya. seneng banget semoga sering promo,5,0,gada
A***e,"pengiriman cepat, barang bagus/sesuai. thanks bonus sim card-nya.",5,0,gada
Dikwan,"fast respond, barang bagus, recommended seller",5,0,gada
F***s,Respon penjual sangat baik,4,0,gada
Fiansyah,Makasih bonus kartu perdana nya 👍🏿😁,5,0,gada
roky,Keren dapat bonus juga lho,5,0,gada
m***u,"terimakasih kak, casenya sesuai dan dapet free kartu dan kuotaa.. toko amanah",5,0,gada
Audrey,Good,5,0,gada
Jeremia,"Barang diterima baik. Build quality bagus, jejak minyak sidik jari mudah nempel. Untuk material sepertinya akan cepat menguning. Tapi ga masalah, untuk harga segitu udah worth",5,0,gada
Hamzah,So so lah,3,0,gada
J***n,Oke,4,0,gada
g***a,"Not bad lah, sesuai harga. Mana dpt diskon jg wkwk",5,0,gada
O***y,"paket mendarat sangat sempurna, packing aman. bubble wrap, dapet bonus juga kartu perdana smartfren. nice 👍👍👍⭐️⭐️⭐️⭐️⭐️",5,0,gada
R***a,"mantap,, barang sesuai pesanan. ada ralat tp sellernya ngeinfo dulu. mantap pokonya...",5,0,gada
firginia,"case nya oke, syuka 🥰",5,0,gada
Cevlok,bagus,5,0,gada
Muhammad,yang dikirim salah seharusnya iphone 8 biasa malah yg dikirim buat ip 8 plus,1,0, Tidak lengkap/salah kirim
g***a,Bagus bgt 🥹,5,0,gada
Mochammad,Sesuai,5,0,gada
Susanto,Ok case nya pas,5,0,gada
D***a,"yaa ok lah,",4,0,gada
J***e,thank you bgt dapet free kartu smartfren wkwkw,5,0,gada
Rachmad,barang di terima dgn baik... mantabssss...,5,0,gada
wahyuhd,"mantap banget seller keren banget, beli case dapet perdana. untuk case iphone xr pas bnget lubang2 presisi dan ga nutupin flash dan kamera",5,0,gada
